Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-2.133865565,-1.25592294,3.768242359,1.924187038,-1.94835115,-1.191382091,4.193699727,1.969544433,16.85785
-2.285419856,-1.028672088,2.733614717,1.86632098,-2.374702681,-1.013478612,2.356725414,1.773828391,19.15489
-3.888114644,-2.008494869,5.934560238,3.35327727,-4.159046913,-2.413503344,7.12640351,3.645056408,25.62521
0.926280654,0.565300874,-1.192504666,-0.625014309,0.07972885,0.058511676,0.07972885,0.058511676,0
-1.807102213,-0.893679914,2.73539785,1.752997854,-1.842122549,-0.798397306,2.597826401,1.932038145,14.0789
-1.988783114,-1.008170116,2.921030099,1.691061517,-1.917032913,-0.962289816,3.056071389,1.625295004,18.14608
-1.703385799,-0.799251605,2.471617323,1.551699285,-1.48170608,-0.694620587,2.462527454,1.611651239,11.89962
-3.614178316,-1.886536672,5.391700847,3.047109979,-3.57632893,-2.175078987,6.309517564,3.216602373,24.87707
0.331675421,0.326741867,-0.448015716,0.035576504,0.175255397,0.138138698,0.175255397,0.138138698,0
0.317156357,0.436032696,-0.894987625,-0.1017058,0.140560439,0.111002473,0.140560439,0.111002473,0
0.331931996,0.185813415,0.278334718,0.211108493,0.151603774,0.110035849,0.151603774,0.110035849,0
-3.763627576,-1.747584906,4.858665941,3.173108625,-4.345638485,-2.083903168,5.58422937,3.606708259,22.18034
-2.079705916,-0.885699462,2.247312217,1.51472435,-2.135864749,-0.774293569,1.814758896,1.492976659,18.44911
