Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-1.450808801,-0.509130122,1.573989843,1.22543563,-1.601625139,-0.467162183,1.301270351,1.328243832,14.21935
-1.931121161,-0.763512551,2.372344263,1.726117942,-1.536058692,-0.744451292,2.445121056,1.569207025,14.27874
-1.554644214,-0.637362278,2.613755327,1.736625883,-1.972896753,-0.556024358,2.628507678,1.982770717,10.51234
-2.878593351,-1.444187279,4.214505336,2.566986625,-2.847277061,-1.482803226,4.241091148,2.66413803,19.61261
-1.942331775,-0.777337507,2.876718893,1.879668977,-1.974917866,-0.857980915,2.731464917,1.90638541,12.24641
0.157198418,0.115372575,0.157198418,0.115372575,0.165160974,0.124042866,0.165160974,0.124042866,0
-3.217663108,-1.461994717,4.263164696,2.699832668,-3.402484242,-1.473522469,4.04645178,2.672351985,17.94787
-1.544254354,-0.561943983,2.240634951,1.576439942,-1.344925708,-0.474599861,2.329970252,1.558549191,10.54702
-2.593840341,-1.243267551,3.920082465,2.282427852,-2.648723828,-1.233428016,3.64612907,2.092095374,16.6186
-2.360638592,-1.090304968,3.182984196,2.017015341,-1.990830412,-1.074667313,3.042680082,1.940526193,16.67509
-1.373637927,-0.491775427,1.555966419,1.170911773,-1.216331484,-0.433639634,1.630108072,1.159637248,14.59127
-3.479241667,-1.788417866,4.870608635,2.865869154,-3.579327289,-1.928028349,5.023851688,2.902458402,24.16414
-2.031481072,-0.819198863,2.379667744,1.581300461,-1.801532729,-0.822428918,2.640257553,1.535010809,17.36068
-2.544311568,-1.146642867,2.894347245,2.001861356,-2.51851619,-1.094393157,2.987817301,1.930827758,23.47132
-2.716388085,-1.346578971,3.592922667,2.236293814,-2.525475142,-1.400371266,3.631861391,2.276779338,22.89035
-2.245613989,-0.979125764,3.486872147,2.231146922,-2.275249081,-1.120587355,3.40398362,2.17315268,13.57751
-1.542667551,-0.616647541,2.09772521,1.472729024,-1.232363068,-0.641270423,2.387119595,1.522601782,13.77061
-2.604183617,-1.216169706,4.14229973,2.468425127,-2.848133202,-1.213882169,3.934761164,2.587196016,16.08179
-1.848038819,-0.759960171,2.925644463,1.879483777,-1.900331743,-0.782861653,2.816589571,1.811773859,11.48893
-1.555097293,-0.635427764,2.530494244,1.622056636,-1.49915752,-0.661968667,2.413481134,1.467550773,11.75739
0.198267376,0.154755149,0.198267376,0.154755149,0.187948567,0.148232239,0.187948567,0.148232239,0
0.15183974,0.10895609,0.15183974,0.10895609,0.150804165,0.112140223,0.150804165,0.112140223,0
-2.810665847,-1.326419011,4.270126169,2.546315058,-2.851803434,-1.299133272,4.086781737,2.539261877,16.50996
-2.270099054,-0.923817411,2.400937931,1.772807852,-2.371105628,-0.880004781,2.042225091,1.684271253,18.52772
0.120657143,0.090015494,0.120657143,0.090015494,0.108997737,0.082758844,0.108997737,0.082758844,0
0.181253974,0.135897286,0.181253974,0.135897286,0.165965305,0.120340351,0.165965305,0.120340351,0
0.135833613,0.098222147,0.135833613,0.098222147,0.113415135,0.077617979,0.113415135,0.077617979,0
-3.606553968,-1.784971749,4.740371786,2.819747324,-3.701975927,-1.751631628,5.062396508,2.812862994,22.38854
-2.687347809,-1.226606864,3.123745945,1.962536162,-2.948394234,-1.399382928,3.221261917,2.009642853,25.86314
0.129042849,0.093389324,0.129042849,0.093389324,0.10275095,0.073170455,0.10275095,0.073170455,0
-2.992011695,-1.717216144,4.84801041,2.735641625,-3.128537355,-1.844508979,4.586841094,2.77573162,22.65724
-2.397407429,-1.053539625,3.128887026,1.990266282,-2.329145998,-0.989622838,3.362033626,1.907741159,16.26757
0.190895124,0.143277793,0.190895124,0.143277793,0.187645135,0.14103281,0.187645135,0.14103281,0
-1.502044512,-0.575058792,2.281564705,1.526352629,-1.196667545,-0.528148543,2.553284733,1.507601657,11.05046
-2.313491269,-1.001188832,3.396081022,2.138443927,-2.278404534,-1.009982404,3.506939652,2.130886184,14.97361
0.162591762,0.123336655,0.162591762,0.123336655,0.147365762,0.114186719,0.147365762,0.114186719,0
0.147654129,0.10470472,0.147654129,0.10470472,0.134837474,0.094143769,0.134837474,0.094143769,0
0.109423067,0.078361783,0.109423067,0.078361783,0.085890417,0.060875695,0.085890417,0.060875695,0
-1.737561779,-0.713657795,2.702590081,1.75532863,-1.462298968,-0.696281812,2.494358338,1.493677782,11.70705
0.176666644,0.129477082,0.176666644,0.129477082,0.127360801,0.092314515,0.127360801,0.092314515,0
-1.444638299,-0.401839639,1.160924312,1.173766092,-0.561100542,-0.494447608,1.290892826,1.188999543,13.52785
-3.613089657,-1.948726861,5.646224275,3.139447283,-3.685124709,-1.824599597,5.296312935,3.082002412,22.79774
0.159175194,0.123522084,0.159175194,0.123522084,0.132054329,0.104412729,0.132054329,0.104412729,0
-1.967400169,-0.818154797,2.811716923,1.858444964,-2.061246257,-0.882667334,3.192778065,1.993006982,13.48434
-2.270961705,-0.960436002,2.474716328,1.72738452,-2.446372804,-0.880914691,2.381507093,1.852698189,19.65101
0.139169441,0.10162898,0.139169441,0.10162898,0.119209619,0.086419457,0.119209619,0.086419457,0
0.134368424,0.096414727,0.134368424,0.096414727,0.118047845,0.088145605,0.118047845,0.088145605,0
-2.429253898,-0.99669144,2.435270926,1.757396793,-2.590092686,-1.075474641,2.617941554,1.727205509,21.39991
-2.177415969,-0.902456891,2.638909814,1.831655485,-2.177453763,-0.875334264,2.682277272,1.721604571,17.5322
-1.73106075,-0.753545194,2.132123479,1.325223905,-1.664497485,-0.669790705,1.941879912,1.257349456,19.56863
-3.549147721,-1.745122641,4.714313145,2.796692033,-3.440092011,-1.693958323,4.571379591,2.635395211,21.65405
-2.336693627,-1.014180407,2.853506116,1.937779528,-2.674504155,-0.973039345,2.987533948,1.994184985,19.4179
-3.525982671,-1.594693505,4.174715241,2.805948152,-3.075960228,-1.512003369,4.422565282,2.651454357,21.2662
-1.60969864,-0.588616562,2.237278847,1.541081218,-1.607461877,-0.60187556,2.532796138,1.522014769,12.86958
-3.355434573,-1.663842029,4.464658533,2.661295505,-3.507693885,-1.613637302,4.087354764,2.517420578,21.62787
-3.313805384,-1.526819722,4.316526423,2.773339205,-3.463152153,-1.56225169,4.642349149,3.102833229,18.05287
-1.897439713,-0.803202885,2.64183924,1.819266185,-1.505297807,-0.825987314,2.811536666,1.717650465,13.22564
-2.404106989,-1.058106575,2.686915435,1.835131313,-2.084795222,-0.973246914,2.660579105,1.606370972,19.97654
0.123807346,0.08936135,0.123807346,0.08936135,0.116712814,0.080628001,0.116712814,0.080628001,0
-3.191989891,-1.580080951,4.107333608,2.534728158,-3.065081982,-1.699683384,4.31230046,2.472411147,25.08467
